source_object,source_column,legacy_type,target_object,target_column,azure_sql_type,null_blank_padding,decision,evidence
BENEFICIARY,STATUS,CHAR(1),SURVDEMO.BENEFICIARY,STATUS,char(1) COLLATE Latin1_General_100_BIN2,NOT NULL default A,Preserve A I D,DDL/SURVDB2.sql
BENEFICIARY,CREATED_TS / UPDATED_TS,TIMESTAMP,SURVDEMO.BENEFICIARY,same,datetime2(6),NOT NULL,Map to date-time not rowversion,DDL/SURVDB2.sql
SURVIVOR_ENTITLEMENT,CLAIM_ID / BENEFICIARY_ID,CHAR(12) / CHAR(10),SURVDEMO.SURVIVOR_ENTITLEMENT,same,char(12) / char(10) COLLATE Latin1_General_100_BIN2,NOT NULL,Preserve composite key and foreign keys,DDL/SURVDB2.sql
SURVIVOR_ENTITLEMENT,BENEFIT_PCT,"DECIMAL(5,2)",SURVDEMO.SURVIVOR_ENTITLEMENT,BENEFIT_PCT,"decimal(5,2)",NOT NULL,Preserve exactly,DDL/SURVDB2.sql
SURVIVOR_ENTITLEMENT,OTHER_INCOME_OFFSET / MONTHLY_AMOUNT,"DECIMAL(11,2)",SURVDEMO.SURVIVOR_ENTITLEMENT,same,"decimal(11,2)",NOT NULL default 0,Preserve exactly,DDL/SURVDB2.sql
SURVIVOR_ENTITLEMENT,TOTAL_PAID,"DECIMAL(13,2)",SURVDEMO.SURVIVOR_ENTITLEMENT,TOTAL_PAID,"decimal(13,2)",NOT NULL default 0,Preserve exactly,DDL/SURVDB2.sql
SURVIVOR_ENTITLEMENT,START_DATE / END_DATE,DATE,SURVDEMO.SURVIVOR_ENTITLEMENT,same,date,End date nullable,Preserve local business date and null distinction,DDL/SURVDB2.sql
SURVIVOR_ENTITLEMENT,STATUS,CHAR(1),SURVDEMO.SURVIVOR_ENTITLEMENT,STATUS,char(1) COLLATE Latin1_General_100_BIN2,NOT NULL,Preserve A S E C,DDL/SURVDB2.sql
SURVIVOR_ENTITLEMENT,VERSION_NO,INTEGER,SURVDEMO.SURVIVOR_ENTITLEMENT,VERSION_NO,int,NOT NULL default 1,Preserve optimistic version,DDL/SURVDB2.sql
SURVIVOR_ENTITLEMENT,UPDATED_TS,TIMESTAMP,SURVDEMO.SURVIVOR_ENTITLEMENT,UPDATED_TS,datetime2(6),NOT NULL,Map to date-time not rowversion,DDL/SURVDB2.sql
CALC_RUN,all columns,Db2 DDL,SURVDEMO.CALC_RUN,same,source-compatible char/date/decimal/int/datetime2 types,Per source,Create now to prevent later batch schema drift,DDL/SURVDB2.sql
BENEFIT_PAYMENT,all columns,Db2 DDL,SURVDEMO.BENEFIT_PAYMENT,same,source-compatible char/date/decimal/datetime2 types,Per source,Preserve unique benefit-period key,DDL/SURVDB2.sql
CALC_EXCEPTION,all columns,Db2 DDL,SURVDEMO.CALC_EXCEPTION,same,source-compatible bigint identity/char/decimal/datetime2 types,Per source,Preserve identity and statuses,DDL/SURVDB2.sql
